date,h
1890-12-03 08:00:00,190.0
1891-01-27 08:00:00,280.0
1891-02-03 08:00:00,210.0
1891-03-21 15:00:00,220.0
1891-04-11 08:00:00,280.0
1891-05-08 08:00:00,160.0
1891-06-12 08:00:00,260.0
1891-07-03 08:00:00,150.0
1891-08-15 08:00:00,110.0
1891-09-23 08:00:00,111.0
1891-10-27 15:00:00,120.0
1891-11-24 08:00:00,140.0
1891-12-19 15:00:00,220.0
1892-01-01 15:00:00,250.0
1892-02-23 08:00:00,410.0
1892-03-02 08:00:00,300.0
1892-04-01 00:01:00,191.0
1892-05-08 08:00:00,120.0
1892-06-16 15:00:00,110.0
1892-07-22 15:00:00,110.0
1892-08-03 08:00:00,100.0
1892-09-15 08:00:00,90.0
1892-10-31 23:59:00,248.0
1892-11-03 15:00:00,350.0
1892-12-14 08:00:00,340.0
1893-01-28 08:00:00,270.0
1893-02-24 08:00:00,380.0
1893-03-01 15:00:00,360.0
1893-04-01 08:00:00,140.0
1893-05-01 08:00:00,100.0
1893-06-01 08:00:00,90.0
1893-07-17 15:00:00,100.0
1893-08-02 08:00:00,110.0
1893-09-27 15:00:00,110.0
1893-10-13 15:00:00,130.0
1893-11-29 15:00:00,160.0
1893-12-22 08:00:00,170.0
1894-01-24 15:25:00,200.0
1894-02-02 15:35:00,210.0
1894-03-08 02:14:00,250.0
1894-04-01 09:42:00,130.0
1894-05-01 03:16:00,100.0
1894-06-17 04:10:00,130.0
1894-07-01 04:26:00,90.0
1894-08-17 05:20:00,70.0
1894-09-11 05:49:00,100.0
1894-10-03 13:15:00,100.0
1894-11-13 07:01:00,130.0
1894-12-28 14:53:00,120.0
1895-01-27 08:27:00,280.0
1895-02-01 08:33:00,250.0
1895-03-31 09:40:00,310.0
1895-04-01 09:41:00,310.0
1895-05-01 10:15:00,120.0
1895-06-08 10:59:00,130.0
1895-07-01 11:25:00,100.0
1895-08-17 19:20:00,100.0
1895-09-02 12:38:00,100.0
1895-10-26 20:40:00,120.0
1895-11-25 14:14:00,170.0
1895-12-27 14:51:00,260.0
1896-01-01 14:57:00,340.0
1896-02-01 08:00:00,140.0
1896-03-18 15:00:00,440.0
