Date;Type;Valeur
03/08/1892 08:00;Hauteur;100
15/09/1892 08:00;Débit;115
15/09/1892 08:00;Hauteur;90
31/10/1892 23:59;Débit;772
31/10/1892 23:59;Hauteur;248
03/11/1892 15:00;Débit;1040
03/11/1892 15:00;Hauteur;350
14/12/1892 08:00;Débit;1020
14/12/1892 08:00;Hauteur;340
24/02/1893 08:00;Hauteur;380
28/01/1893 08:00;Débit;835
28/01/1893 08:00;Hauteur;270
24/02/1893 08:00;Débit;1120
24/02/1893 08:00;Hauteur;380
01/03/1893 15:00;Débit;1070
01/03/1893 15:00;Hauteur;360
01/04/1893 08:00;Débit;401
01/04/1893 08:00;Hauteur;140
01/05/1893 08:00;Débit;149
01/05/1893 08:00;Hauteur;100
01/06/1893 08:00;Débit;115
01/06/1893 08:00;Hauteur;90
17/07/1893 15:00;Débit;149
17/07/1893 15:00;Hauteur;100
02/08/1893 08:00;Débit;207
02/08/1893 08:00;Hauteur;110
27/09/1893 15:00;Débit;207
27/09/1893 15:00;Hauteur;110
13/10/1893 15:00;Débit;348
13/10/1893 15:00;Hauteur;130
29/11/1893 15:00;Débit;488
29/11/1893 15:00;Hauteur;160
22/12/1893 08:00;Débit;520
22/12/1893 08:00;Hauteur;170
08/03/1894 02:14;Hauteur;250
24/01/1894 15:25;Débit;618
24/01/1894 15:25;Hauteur;200
02/02/1894 15:35;Débit;650
02/02/1894 15:35;Hauteur;210
08/03/1894 02:14;Débit;778
08/03/1894 02:14;Hauteur;250
01/04/1894 09:42;Débit;348
01/04/1894 09:42;Hauteur;130
01/05/1894 03:16;Débit;149
01/05/1894 03:16;Hauteur;100
17/06/1894 04:10;Débit;348
17/06/1894 04:10;Hauteur;130
01/07/1894 04:26;Débit;115
01/07/1894 04:26;Hauteur;90
17/08/1894 05:20;Débit;90
17/08/1894 05:20;Hauteur;70
11/09/1894 05:49;Débit;149
11/09/1894 05:49;Hauteur;100
03/10/1894 13:15;Débit;149
03/10/1894 13:15;Hauteur;100
13/11/1894 07:01;Débit;348
13/11/1894 07:01;Hauteur;130
28/12/1894 14:53;Débit;278
28/12/1894 14:53;Hauteur;120
01/04/1895 09:41;Hauteur;310
27/01/1895 08:27;Débit;863
27/01/1895 08:27;Hauteur;280
01/02/1895 08:33;Débit;778
01/02/1895 08:33;Hauteur;250
31/03/1895 09:40;Débit;947
31/03/1895 09:40;Hauteur;310
01/04/1895 09:41;Débit;947
01/04/1895 09:41;Hauteur;310
01/05/1895 10:15;Débit;278
01/05/1895 10:15;Hauteur;120
08/06/1895 10:59;Débit;348
08/06/1895 10:59;Hauteur;130
01/07/1895 11:25;Débit;149
01/07/1895 11:25;Hauteur;100
17/08/1895 19:20;Débit;149
17/08/1895 19:20;Hauteur;100
02/09/1895 12:38;Débit;149
02/09/1895 12:38;Hauteur;100
26/10/1895 20:40;Débit;278
26/10/1895 20:40;Hauteur;120
25/11/1895 14:14;Débit;520
25/11/1895 14:14;Hauteur;170
27/12/1895 14:51;Débit;807
27/12/1895 14:51;Hauteur;260
01/11/1896 08:00;Hauteur;530
01/01/1896 14:57;Débit;1020
01/01/1896 14:57;Hauteur;340
01/02/1896 08:00;Débit;401
01/02/1896 08:00;Hauteur;140
18/03/1896 15:00;Débit;1260
18/03/1896 15:00;Hauteur;440
01/04/1896 08:00;Débit;520
01/04/1896 08:00;Hauteur;170
01/05/1896 08:00;Débit;207
01/05/1896 08:00;Hauteur;110
16/06/1896 15:00;Débit;278
16/06/1896 15:00;Hauteur;120
01/07/1896 08:00;Débit;115
01/07/1896 08:00;Hauteur;90
31/08/1896 23:59;Débit;106
31/08/1896 23:59;Hauteur;84,7
01/09/1896 08:00;Débit;488
01/09/1896 08:00;Hauteur;160
31/10/1896 15:00;Débit;1490
31/10/1896 15:00;Hauteur;520
01/11/1896 08:00;Débit;1520
01/11/1896 08:00;Hauteur;530
23/12/1896 08:00;Débit;1090
23/12/1896 08:00;Hauteur;370
15/02/1897 08:00;Hauteur;560
01/01/1897 08:00;Débit;995
01/01/1897 08:00;Hauteur;330
15/02/1897 08:00;Débit;1620
15/02/1897 08:00;Hauteur;560
17/03/1897 08:00;Débit;947
17/03/1897 08:00;Hauteur;310
08/04/1897 15:00;Débit;1020
08/04/1897 15:00;Hauteur;340
02/05/1897 15:00;Débit;553
02/05/1897 15:00;Hauteur;180
08/06/1897 08:00;Débit;401
08/06/1897 08:00;Hauteur;140
03/07/1897 08:00;Débit;207
03/07/1897 08:00;Hauteur;110
01/08/1897 15:00;Débit;348
01/08/1897 15:00;Hauteur;130
11/09/1897 08:00;Débit;520
11/09/1897 08:00;Hauteur;170
01/10/1897 08:00;Débit;149
01/10/1897 08:00;Hauteur;100
30/11/1897 17:02;Débit;117
01/11/1897 08:00;Hauteur;90
14/12/1897 08:00;Débit;348
14/12/1897 08:00;Hauteur;130
06/03/1898 08:00;Hauteur;250
03/01/1898 08:00;Débit;278
03/01/1898 08:00;Hauteur;120
26/02/1898 08:00;Débit;682
26/02/1898 08:00;Hauteur;220
06/03/1898 08:00;Débit;778
06/03/1898 08:00;Hauteur;250
01/04/1898 08:00;Débit;348
01/04/1898 08:00;Hauteur;130
22/05/1898 08:00;Débit;650
22/05/1898 08:00;Hauteur;210
01/06/1898 15:00;Débit;442
01/06/1898 15:00;Hauteur;150
09/07/1898 08:00;Débit;149
09/07/1898 08:00;Hauteur;100
23/08/1898 15:00;Débit;115
23/08/1898 15:00;Hauteur;90
06/09/1898 08:00;Débit;115
06/09/1898 08:00;Hauteur;90
11/10/1898 08:00;Débit;115
11/10/1898 08:00;Hauteur;90
24/11/1898 08:00;Débit;149
24/11/1898 08:00;Hauteur;100
12/12/1898 08:00;Débit;207
12/12/1898 08:00;Hauteur;110
18/01/1899 08:00;Hauteur;310
18/01/1899 08:00;Débit;947
18/01/1899 08:00;Hauteur;310
01/02/1899 08:00;Hauteur;180
05/02/1900 08:00;Hauteur;370
31/01/1900 15:00;Hauteur;360
05/02/1900 08:00;Débit;1090
05/02/1900 08:00;Hauteur;370
01/03/1900 00:01;Débit;945
01/03/1900 00:01;Hauteur;309
06/04/1900 08:00;Débit;348
06/04/1900 08:00;Hauteur;130
11/05/1900 08:00;Débit;278
11/05/1900 08:00;Hauteur;120
21/06/1900 08:00;Débit;278
21/06/1900 08:00;Hauteur;120
01/07/1900 00:01;Débit;106
01/07/1900 00:01;Hauteur;84,7
20/08/1900 08:00;Débit;149
20/08/1900 08:00;Hauteur;100
01/09/1900 08:00;Débit;115
01/09/1900 08:00;Hauteur;90
01/10/1900 08:00;Débit;115
01/10/1900 08:00;Hauteur;90
30/11/1900 23:59;Débit;211
30/11/1900 23:59;Hauteur;111
09/12/1900 15:00;Débit;618
09/12/1900 15:00;Hauteur;200
18/04/1901 15:00;Hauteur;380
31/01/1901 23:59;Débit;602
31/01/1901 23:59;Hauteur;195
01/02/1901 08:00;Débit;618
01/02/1901 08:00;Hauteur;200
24/03/1901 08:00;Débit;995
24/03/1901 08:00;Hauteur;330
18/04/1901 15:00;Débit;1120
18/04/1901 15:00;Hauteur;380
01/05/1901 08:00;Débit;650
01/05/1901 08:00;Hauteur;210
01/06/1901 08:00;Débit;149
01/06/1901 08:00;Hauteur;100
30/07/1901 08:00;Débit;115
30/07/1901 08:00;Hauteur;90
02/08/1901 15:00;Débit;115
02/08/1901 15:00;Hauteur;90
22/09/1901 08:00;Débit;278
22/09/1901 08:00;Hauteur;120
16/10/1901 08:00;Débit;553
16/10/1901 08:00;Hauteur;180
01/11/1901 15:00;Débit;278
01/11/1901 15:00;Hauteur;120
31/12/1901 23:59;Débit;749
31/12/1901 23:59;Hauteur;241
11/02/1902 08:00;Hauteur;290
06/01/1902 08:00;Débit;891
06/01/1902 08:00;Hauteur;290
